"kl_kood","nimetus"
"KONS_VUND","madalvundament"
"KONS_KKONSTR","tellis"
"KONS_KKONSTR","tellis, väikeplokk"
"KONS_VLAED","monoliitne raudbetoon"
"KONS_VLAED","puit"
"KONS_VSEIN","tellis, väikeplokk"
"KONS_KATUS","plekk"
"KONS_VALISV","krohv"
"KONS_SARIKAD","monoliitne raudbetoon"
"KONS_SARIKAD","puit"
"TEHNO_VESI","võrk"
"TEHNO_OPESU","vann/dušš"
"TEHNO_OPESU","saun"
"TEHNO_ELEK","220 V"
"TEHNO_ELEK","380 V"
"TEHNO_KANAL","võrk"
"TEHNO_GAAS","võrk"
"TEHNO_GAAS","olemas"
"TEHNO_WC","olemas"
"TEHNO_ELEKLIIK","võrk"
"TEHNO_SOOJAVLIIK","kaugküte"
"TEHNO_SOOJUSA","katel"
"TEHNO_ENERGIA","küttegaas"
"TEHNO_GAASIPAIGALDIS","olemas"
